Trait,EnvVar,Intercept,Slope,StdErr_Slope,t_Slope,p_Slope,R2,Adj_R2,F_Statistic,p_Model,N
Leaf_Area_cm2,Altitude,123.63624683722342,-0.30923249929716345,0.35151528534870913,-0.8797128096162292,0.42869225805580213,0.1621097003190241,-0.047362874601219795,0.7738946274028802,0.4286922580558019,6
Leaf_Area_cm2,Humidity,32.19670241923144,-0.22730592558566934,0.6234309318981287,-0.3646048246172234,0.7338645272879667,0.03216518627964352,-0.2097935171504457,0.13293667813415624,0.7338645272879667,6
Leaf_Area_cm2,Illumination,38.95449637389205,-47.360193392425515,60.54807260519016,-0.7821915934672679,0.477813830996795,0.13266415417498453,-0.08416980728126933,0.6118236888908634,0.47781383099679525,6
Leaf_Area_cm2,Soil_pH,272.86469451806516,-43.12219277444573,16.334263548845186,-2.6399838992125493,0.057581344010172016,0.6353530667181955,0.5441913333977444,6.969514988101493,0.05758134401017204,6
Leaf_Area_cm2,Temperature,48.91518860016808,-1.1015926236379014,3.269376902384295,-0.33694268251376297,0.7530971853024915,0.027599254424297084,-0.2155009319696286,0.11353037129957008,0.7530971853024919,6
Leaf_Dry_Mass_g,Altitude,0.9280728141692479,-0.0023362384031487323,0.002070344628676497,-1.1284297168641977,0.3222354114020533,0.24146941704186523,0.05183677130233155,1.2733536259022138,0.3222354114020533,6
Leaf_Dry_Mass_g,Humidity,0.08702457510335311,3.100597152044113e-4,0.003919708480475956,0.07910274877553188,0.9407501499238393,0.0015618679683804503,-0.24804766503952447,0.0062572448638449525,0.9407501499238392,6
Leaf_Dry_Mass_g,Illumination,0.24974214343271547,-0.2804190169218371,0.37723659692915734,-0.7433505105404661,0.4985583933477919,0.1213753953840788,-0.09828075576990147,0.552569981520772,0.49855839334779156,6
Leaf_Dry_Mass_g,Soil_pH,1.7168273120379451,-0.2690751848235464,0.09968459964113684,-2.6992653408070386,0.054135508777519804,0.6455796411997774,0.5569745514997217,7.286033380082137,0.054135508777519804,6
Leaf_Dry_Mass_g,Temperature,0.6443797150041924,-0.017539815590947232,0.018555208388261718,-0.9452772086377194,0.398042067778136,0.18259733395053257,-0.021753332561834204,0.8935490011699188,0.3980420677781356,6
Leaf_Length_cm,Altitude,16.156726173742072,-0.02721816137194307,0.053091652381771784,-0.5126636702926959,0.635198476790602,0.061654911496093895,-0.17293136062988257,0.262824038837977,0.6351984767906027,6
Leaf_Length_cm,Humidity,5.841435308528573,0.01058566835094148,0.09028947323118529,0.11724144545441065,0.9123198151970969,0.0034246208033463874,-0.24571922399581703,0.01374555653223943,0.9123198151970973,6
Leaf_Length_cm,Illumination,9.26386784850928,-5.2937147461724585,8.89347594467592,-0.595235741244855,0.5837265231620328,0.08136902211452156,-0.1482887223568481,0.35430558765530973,0.5837265231620339,6
Leaf_Length_cm,Soil_pH,35.67159017994161,-4.863928023434262,2.998328635337355,-1.6222131110344415,0.18007730230182728,0.3968250721383854,0.2460313401729819,2.631575377612037,0.18007730230182753,6
Leaf_Length_cm,Temperature,16.303405280804796,-0.31764459346186397,0.4457413995654815,-0.7126208015937288,0.5154445031213717,0.11265477765098914,-0.10918152793626357,0.5078284068640863,0.5154445031213726,6
Leaf_Width_cm,Altitude,17.101155468091186,-0.04039359010402051,0.02901017844830258,-1.3923937136754836,0.23621513075240883,0.3264587508167824,0.1580734385209781,1.9387602538830022,0.23621513075240902,6
Leaf_Width_cm,Humidity,4.79146708007962,-0.024761139182361024,0.05700281255472263,-0.4343845167041602,0.6864146656686058,0.045047476055951705,-0.19369065493006032,0.18868990835230712,0.6864146656686055,6
Leaf_Width_cm,Illumination,5.342723609991947,-4.788074133763102,5.48472833077861,-0.8729829163814552,0.4319459931627623,0.16003429259260282,-0.049957134259246416,0.7620991722938686,0.4319459931627628,6
Leaf_Width_cm,Soil_pH,29.44141233086911,-4.435067652392258,1.1323066222525195,-3.916843340163013,0.01729365988985114,0.7931925368452509,0.7414906710565636,15.341661751379323,0.01729365988985119,6
Leaf_Width_cm,Temperature,6.2421123218776415,-0.10783738474434265,0.30038192385474194,-0.35900091244002563,0.7377423680971908,0.031214664380741716,-0.21098166952407293,0.1288816551327708,0.7377423680971911,6
SLA,Altitude,230.69892217828277,-0.24182939270732967,1.107903565040211,-0.21827657238250026,0.8378974591822415,0.01177095966396154,-0.23528630042004806,0.047644662051052174,0.8378974591822426,6
SLA,Humidity,267.772454967518,-1.64310560236957,1.6454227920384588,-0.998591736008459,0.37450599511114957,0.19954941919993466,-5.632260000816292e-4,0.9971854552243875,0.3745059951111497,6
SLA,Illumination,190.6493444020103,-89.56056435467056,183.29051901060905,-0.48862627940666536,0.6506850081516268,0.05632682351903531,-0.17959147060120584,0.23875564092679927,0.6506850081516277,6
SLA,Soil_pH,-129.68706661396985,46.16891930436549,75.03209812942617,0.6153222481494078,0.5716257617341833,0.08647047289709266,-0.14191190887863425,0.3786214690676415,0.5716257617341833,6
SLA,Temperature,-270.49808651247616,13.6712171666655,6.771789504722976,2.018848512218303,0.11364674900753235,0.5046899248805731,0.3808624061007163,4.07574931528606,0.11364674900753217,6
